Cryptocurrency,Symbol,Price (USD),Market Cap,Volume (24h),Change (24h) %
Bitcoin,BTC,"$95,617.00","$1,907,971,023,259","$78,610,282,233",-0.01%
Ethereum,ETH,"$3,198.41","$386,021,469,589","$34,026,258,544",0.10%
Tether,USDT,$1.00,"$183,880,908,710","$112,631,727,717",-0.03%
XRP,XRP,$2.27,"$136,681,506,569","$4,391,280,847",1.11%
BNB,BNB,$934.41,"$128,629,475,057","$2,313,167,560",-0.39%
Solana,SOL,$142.31,"$78,832,145,985","$5,659,066,531",0.19%
USDC,USDC,$1.00,"$74,874,413,973","$9,254,085,236",-0.01%
TRON,TRX,$0.29,"$27,779,390,912","$907,937,598",-1.35%
Lido Staked Ether,STETH,"$3,197.62","$27,619,014,178","$48,774,920",0.15%
Dogecoin,DOGE,$0.16,"$24,619,130,791","$1,937,294,198",-0.13%
